Recurso,Pendiente_kg_por_anio,R2_historico,kg_promedio,n_anios
Anchoveta (Cetengraulis mysticetus),-216156.75181818256,0.0004438842924946451,53911960.809090905,11
Lenguado boca de Dios (Cyclopsetta panamensis),-22241.76454545455,0.6415793557959475,140588.21818181817,11
Pargo de seda (Lutjanus peru),-14547.250000000005,0.2878225630453435,153827.49090909094,11
Corvina pelona (Cynoscion stolzmanni),-10481.352884615386,0.6307279480963821,69322.96666666667,9
Camarón blanco (Penaeus vannamei),-9283.383636363636,0.026165998627839415,609813.9,11
Pargo rojo (Lutjanus colorado),-8844.617272727275,0.10594845671364372,529809.1545454547,11
Cherna (Alphestes spp.),-7886.414545454544,0.11966763068078168,262029.09999999998,11
Camarón tití (Decapoda),-7684.682727272729,0.4952569805816588,77954.30909090908,11
Pargo (Lutjanidae),-6607.981818181819,0.19124809462169878,167890.96363636362,11
Congo (Bagre panamensis),-5357.000000000001,0.4517374814420382,35066.80909090909,11
Sierra (Scomberomorus sierra),-3513.509090909089,0.08458351790270857,214431.1,11
Cojinúa (Caranx caballus),-1980.8345454545463,0.08821153433917461,110523.31818181816,11
Pez aguja (Tylosurus crocodilus fodiator),-972.4200000000003,0.2613414787039148,15755.20909090909,11
Raya (Dasyatidae),-925.187272727273,0.07426081424415798,15174.118181818181,11
Pámpano (Trachinotus spp.),-916.7124384236449,0.43059828554851487,4417.233333333334,9
Cominate (Ariopsis guatemalensis),-845.0490909090913,0.38771370978899933,6921.709090909091,11
Sargento (Paralonchurus dumerilii),-785.8554545454547,0.5651668802617962,2841.2909090909093,11
Cojinúa rayada (Caranx vinctus),-531.5636363636363,0.06376486156180394,10917.863636363636,11
Pulpo (Euaxoctopus panamensis),-524.2909090909093,0.29625403602750533,2427.9,11
Barracuda (Sphyraena spp.),-496.1209956709957,0.4538927871335944,1564.98,10
Guanco (Scombridae),-454.2527272727272,0.004160855176866707,41437.57272727272,11
Cherna mantequilla (Epinephelus cifuentesi),-444.09664902998236,0.3548137231789633,1619.35,8
Jurel común (Caranx hippos),-418.6385483870969,0.020343638717286283,7505.844444444443,9
Pajarita (Peprilus medius),-357.18606060606066,0.0826903614135871,5100.15,10
Corvina bocona (Cynoscion praedatorius),-328.55181818181825,0.011625290706351987,38785.63,10
Pollera panameña (Parapsettus panamensis),-271.9055421686747,0.10888480501172892,2147.9666666666662,9
Sierra del caribe (Scomberomorus brasiliensis),-248.17727272727285,0.292495507517865,2428.045454545455,11
Bojalá (Seriola rivoliana),-208.60454545454553,0.331804397836195,1181.1909090909091,11
Pargo seda del caribe (Lutjanidae),-197.7115921787709,0.04357518928528825,1801.7777777777776,9
Salema (Sectator ocyurus),-179.68909090909096,0.027857134742966028,5766.436363636363,11
Tiburón cazón (Mustelus spp.),-149.36818181818143,0.00047546342222715143,59935.62000000001,10
Jurel ojón (Caranx sexfasciatus),-98.77756410256413,0.07732695591412042,1061.677777777778,9
Mero (Epinephelus quinquefasciatus),-84.26272727272732,0.02231902173950784,3903.1,11
Caballito (Selene peruviana),-80.1781512605042,0.03467999388956178,864.4999999999999,8
Mero del caribe  (Serranidae),-78.399000999001,0.3946230371107813,301.02000000000004,10
Tiburón (Carcharhiniformes),-60.991818181819056,4.5598457462325825e-05,155637.09090909094,11
Pargo colorado del caribe (Lutjanus purpureus),-57.834545454545456,0.02414228798442497,1083.6363636363637,11
